"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"29","11","0","5.218617771509168","0","4","0","5.500705218617771","0","2","0","5.077574047954866","0","4","0","5.218617771509168","91","14","0","5.218617771509168","28","14","0","5.077574047954866","63","11","0","4.372355430183357","84","14","0","5.500705218617771","41","11","0","5.077574047954866","108","14","0","6.205923836389281"
,"28","11","0","5.359661495063469","0","4","0","5.500705218617771","0","2","0","5.077574047954866","0","4","0","5.218617771509168","117","14","0","5.359661495063469","27","14","0","5.077574047954866","62","11","0","4.513399153737659","83","14","0","5.6417489421720735","40","11","0","5.218617771509168","107","14","0","6.205923836389281"
,"47","12","0","5.6417489421720735","0","4","0","5.500705218617771","0","2","0","5.077574047954866","0","4","0","5.218617771509168","164","17","0","5.6417489421720735","48","17","0","5.077574047954866","110","14","0","4.65444287729196","140","17","0","6.064880112834979","72","13","0","5.359661495063469","182","15","0","7.052186177715091"
,"43","13","0","6.064880112834979","0","4","0","5.500705218617771","0","2","0","5.077574047954866","0","4","0","5.218617771509168","202","18","0","5.923836389280677","46","18","0","5.359661495063469","108","15","0","4.9365303244005645","137","18","0","6.488011283497884","70","14","0","5.6417489421720735","178","16","0","7.475317348377997"
,"71","13","0","6.629055007052186","0","4","0","5.500705218617771","0","2","0","5.077574047954866","0","4","0","5.218617771509168","272","18","0","6.346967559943582","71","18","0","6.064880112834979","154","15","0","5.359661495063469","232","18","0","6.770098730606488","97","14","0","6.205923836389281","288","16","0","8.321579689703809"
,"66","18","0","6.770098730606488","0","8","0","5.500705218617771","0","4","0","5.077574047954866","0","6","0","5.218617771509168","306","26","0","7.193229901269394","65","27","0","6.770098730606488","148","23","0","5.782792665726375","228","26","0","7.052186177715091","94","19","0","6.629055007052186","276","26","0","9.873060648801129"
,"108","19","0","7.052186177715091","0","8","0","5.500705218617771","0","4","0","5.077574047954866","0","6","0","5.218617771509168","372","27","0","8.46262341325811","96","28","0","7.334273624823695","229","24","0","6.488011283497884","358","27","0","7.757404795486601","137","20","0","6.770098730606488","384","27","0","11.56558533145275"
,"102","19","0","7.334273624823695","0","8","0","5.500705218617771","0","4","0","5.077574047954866","0","6","0","5.218617771509168","388","27","0","10.155148095909732","85","28","0","8.180535966149506","218","24","0","7.475317348377997","349","27","0","8.46262341325811","135","20","0","6.911142454160791","368","27","0","13.399153737658676"
,"150","21","0","7.334273624823695","0","8","0","5.500705218617771","0","4","0","5.077574047954866","0","6","0","5.218617771509168","453","33","0","11.706629055007053","118","30","0","8.885754583921015","296","31","0","9.026798307475318","469","34","0","9.30888575458392","190","24","0","7.052186177715091","457","29","0","15.514809590973202"
,"143","22","0","7.898448519040903","0","8","0","5.500705218617771","0","4","0","5.077574047954866","0","6","0","5.218617771509168","451","34","0","13.822284908321581","104","31","0","9.873060648801129","283","32","0","10.296191819464035","458","35","0","10.296191819464035","184","25","0","7.6163610719323","439","30","0","17.77150916784203"
,"212","22","0","8.744710860366714","0","8","0","5.500705218617771","0","4","0","5.077574047954866","0","6","0","5.218617771509168","518","34","0","16.361071932299012","148","31","0","10.719322990126939","380","32","0","11.56558533145275","581","35","0","11.847672778561353","250","25","0","8.321579689703809","521","30","0","19.322990126939352"
,"205","34","0","9.167842031029618","0","13","0","5.500705218617771","0","7","0","5.077574047954866","0","10","0","5.218617771509168","525","48","0","18.899858956276447","133","42","0","11.706629055007053","355","45","0","13.822284908321581","558","44","0","13.822284908321581","240","35","0","9.167842031029618","493","42","0","21.720733427362482"
,"298","35","0","10.296191819464035","0","13","0","5.500705218617771","0","7","0","5.077574047954866","0","10","0","5.218617771509168","583","49","0","21.720733427362482","194","43","0","12.552891396332862","483","46","0","16.643159379407617","643","45","0","16.361071932299012","297","36","0","10.578279266572638","561","43","0","24.400564174894217"
,"288","35","0","10.860366713681241","0","13","0","5.500705218617771","0","7","0","5.077574047954866","0","10","0","5.218617771509168","570","49","0","24.259520451339917","175","43","0","13.963328631875882","446","46","0","19.18194640338505","615","45","0","18.758815232722146","281","36","0","12.411847672778562","532","43","0","26.79830747531735"
,"389","42","0","12.693935119887165","0","13","0","5.500705218617771","0","7","0","5.077574047954866","0","10","0","5.218617771509168","622","58","0","27.785613540197463","228","47","0","15.2327221438646","571","50","0","21.720733427362482","676","54","0","21.57968970380818","343","40","0","14.245416078984485","613","46","0","30.04231311706629"
,"367","43","1","14.950634696755994","0","13","1","5.500705218617771","0","7","1","5.077574047954866","0","10","1","5.218617771509168","611","59","1","31.31170662905501","206","48","1","17.066290550070523","537","51","1","23.836389280677007","638","55","1","24.823695345557123","326","41","1","15.796897038081806","573","47","1","32.86318758815233"
