"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"720","14","0","6.488011283497884","760","14","0","2.6798307475317347","688","12","0","5.923836389280677","751","14","0","7.475317348377997","787","13","0","7.193229901269394","731","14","0","5.923836389280677","734","11","0","4.231311706629055","738","14","0","6.911142454160791","731","12","0","5.923836389280677","697","12","0","3.244005641748942"
,"719","15","0","7.757404795486601","759","17","0","3.80818053596615","729","15","0","7.052186177715091","768","15","0","9.026798307475318","786","16","0","8.885754583921015","743","17","0","7.475317348377997","739","11","0","4.65444287729196","758","17","0","8.603667136812412","753","15","0","7.334273624823695","729","14","0","3.5260930888575457"
,"729","16","0","9.026798307475318","755","18","0","5.077574047954866","737","16","0","8.180535966149506","763","16","0","10.437235543018335","786","17","0","10.719322990126939","742","18","0","8.885754583921015","755","12","0","5.218617771509168","745","18","0","10.01410437235543","748","16","0","9.026798307475318","728","15","0","3.9492242595204514"
,"729","16","0","10.437235543018335","753","18","0","6.205923836389281","752","16","0","9.167842031029618","767","16","0","11.988716502115656","783","17","0","12.270803949224259","737","18","0","10.01410437235543","756","12","0","5.923836389280677","757","18","0","11.42454160789845","773","16","0","10.155148095909732","750","15","0","4.513399153737659"
,"724","21","0","12.129760225669958","743","25","0","7.898448519040903","746","20","0","10.578279266572638","763","19","0","13.540197461212976","783","20","0","13.963328631875882","735","24","0","11.56558533145275","758","17","0","6.488011283497884","740","23","0","13.540197461212976","756","21","0","11.142454160789844","745","20","0","5.6417489421720735"
,"724","22","0","13.822284908321581","743","26","0","10.01410437235543","745","21","0","11.988716502115656","766","20","0","14.809590973201692","780","21","0","14.950634696755994","727","25","0","12.834978843441466","759","18","0","7.193229901269394","750","24","0","15.373765867418902","758","22","0","12.552891396332862","747","21","0","6.488011283497884"
,"721","22","0","15.514809590973202","749","26","0","11.706629055007053","740","21","0","13.258110014104371","763","20","0","16.07898448519041","779","21","0","15.655853314527505","734","25","0","14.527503526093088","757","18","0","8.039492242595205","738","24","0","16.92524682651622","750","22","0","14.386459802538788","749","21","0","7.193229901269394"
,"717","27","0","17.207334273624824","746","32","0","14.104372355430183","739","27","0","15.655853314527505","763","22","0","17.63046544428773","775","24","0","16.643159379407617","722","30","0","16.784203102961918","753","20","0","9.30888575458392","752","27","0","18.899858956276447","751","27","0","16.361071932299012","746","25","0","8.039492242595205"
,"715","28","0","18.899858956276447","740","33","0","16.22002820874471","732","28","0","17.77150916784203","760","23","0","19.18194640338505","775","25","0","17.48942172073343","726","31","0","18.47672778561354","756","21","0","10.296191819464035","734","28","0","20.73342736248237","740","28","0","18.194640338504936","744","26","0","9.026798307475318"
,"714","28","0","20.59238363892807","750","33","0","18.61777150916784","735","28","0","19.605077574047954","758","23","0","21.015514809590975","772","25","0","18.47672778561354","718","31","0","20.451339915373765","752","21","0","11.42454160789845","746","28","0","22.708039492242595","752","28","0","20.59238363892807","746","26","0","9.732016925246826"
