"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"0","12","0","4.513399153737659","0","12","0","5.500705218617771","649","46","0","19.605077574047954","0","15","0","4.513399153737659","0","12","0","5.218617771509168","393","36","0","11.283497884344147","546","40","0","18.053596614950635","723","56","0","29.619181946403383","0","14","0","5.500705218617771","735","50","0","30.18335684062059"
,"0","12","1","4.513399153737659","0","12","1","5.500705218617771","621","47","1","21.297602256699577","0","15","1","4.513399153737659","0","12","1","5.218617771509168","375","37","1","12.693935119887165","546","41","1","20.310296191819464","692","57","1","31.734837799717912","0","14","1","5.500705218617771","724","51","1","33.004231311706626"
,"0","12","1","4.513399153737659","0","12","1","5.500705218617771","682","47","1","23.97743300423131","0","15","1","4.513399153737659","0","12","1","5.218617771509168","475","37","1","14.527503526093088","596","41","1","22.708039492242595","726","57","1","35.40197461212976","0","14","1","5.500705218617771","731","51","1","35.966149506346966"
,"0","20","1","4.513399153737659","0","19","1","5.500705218617771","645","55","1","26.939351198871652","0","24","1","4.513399153737659","0","20","1","5.218617771509168","451","53","1","16.361071932299012","585","56","1","24.964739069111424","687","72","1","39.06911142454161","0","23","1","5.500705218617771","706","60","1","39.21015514809591"
,"0","20","2","4.513399153737659","0","19","2","5.500705218617771","706","56","2","30.04231311706629","0","24","2","4.513399153737659","0","20","2","5.218617771509168","566","54","2","19.322990126939352","638","57","2","27.644569816643163","717","73","2","42.45416078984485","0","23","2","5.500705218617771","715","61","2","41.74894217207334"
,"0","20","2","4.513399153737659","0","19","2","5.500705218617771","661","56","2","33.286318758815234","0","24","2","4.513399153737659","0","20","2","5.218617771509168","537","54","2","21.57968970380818","623","57","2","29.760225669957684","680","73","2","45.41607898448519","0","23","2","5.500705218617771","700","61","2","44.14668547249647"
,"0","20","2","4.372355430183357","0","19","2","5.500705218617771","702","74","2","36.67136812411847","0","24","2","4.513399153737659","0","20","2","5.218617771509168","641","59","2","24.541607898448518","667","68","2","33.14527503526093","703","84","2","47.53173483779972","0","23","2","5.500705218617771","702","72","2","46.82651622002821"
,"0","20","3","4.372355430183357","0","19","3","5.500705218617771","647","75","3","39.77433004231312","0","24","3","4.513399153737659","0","20","3","5.218617771509168","608","60","3","26.093088857545837","650","69","3","36.10719322990127","662","85","3","50.916784203102964","0","23","3","5.500705218617771","690","73","3","50.21156558533145"
,"0","20","3","4.372355430183357","0","19","3","5.500705218617771","716","75","3","42.73624823695346","0","24","3","4.513399153737659","0","20","3","5.218617771509168","696","60","3","28.49083215796897","703","69","3","38.5049365303244","695","85","3","53.73765867418901","0","23","3","5.500705218617771","710","73","3","53.032440056417485"
,"0","28","3","4.231311706629055","0","32","3","5.500705218617771","647","85","3","45.13399153737659","0","33","3","4.372355430183357","0","37","3","5.218617771509168","647","73","3","31.734837799717912","679","80","3","41.607898448519045","647","99","3","56.98166431593794","0","35","3","5.500705218617771","689","91","3","56.13540197461213"
